id,n1,n2,n3,n4,n5,n6,sp
100008,3,4,13,18,24,42,47
100009,1,6,17,25,40,42,15
100010,10,33,41,42,47,49,3
100011,5,6,23,31,39,41,16
100012,3,4,7,34,36,45,24
100013,9,12,15,24,33,35,18
100014,14,20,23,26,37,38,33
100015,13,15,20,32,35,39,11
100016,2,3,20,28,36,44,21
100017,3,8,14,27,31,48,23
100018,12,16,18,22,23,27,41
100019,1,6,24,25,32,47,38
100020,5,11,13,21,22,42,25
100021,4,19,28,29,30,41,10
100022,3,15,23,30,36,37,28
100023,6,8,20,24,36,47,27
100024,1,18,35,39,43,48,2
100025,4,10,12,18,22,40,24
100026,14,20,30,32,35,43,33
100027,8,10,20,24,28,29,32
100028,9,10,23,29,37,38,44
100029,4,6,14,24,29,33,45
100030,15,28,37,38,42,47,33
100031,22,35,37,41,46,47,24
100032,4,21,22,26,36,46,41
100033,20,37,39,40,41,45,8
100034,1,7,16,17,22,23,19
100035,10,15,18,24,28,43,35
100036,6,22,23,24,36,44,3
100037,5,12,25,35,38,42,28
100038,16,19,21,29,36,42,10
100039,1,3,11,15,26,48,28
100040,2,33,34,42,44,47,10
100041,1,16,19,24,25,26,21
100042,5,10,24,32,43,48,4
100043,5,9,15,32,38,43,12
100044,8,12,13,15,35,46,30
100045,3,8,22,27,31,39,14
100046,6,10,19,29,37,41,9
100047,5,17,21,31,33,48,25
100048,1,2,19,31,47,48,36
100049,1,10,13,40,42,46,41
100050,11,19,21,27,38,39,24
100051,11,13,15,23,27,33,4
100052,9,23,25,31,44,49,2
100053,1,2,15,18,28,32,26
100054,16,18,35,37,43,47,7
100055,8,24,31,35,37,41,19
100056,17,23,27,30,43,49,31
100057,2,17,20,37,47,49,36
100058,4,5,6,8,22,38,42
100059,2,8,13,29,35,36,14
100060,6,19,28,37,38,46,42
100061,17,24,27,28,42,45,31
100062,3,20,24,25,28,49,30
100063,25,27,33,38,40,49,12
100064,2,12,14,22,40,45,4
100065,26,30,37,38,42,43,32
100066,13,18,30,32,41,48,45
100067,5,23,29,32,36,42,14
100068,10,31,32,33,43,45,30
100069,10,12,26,36,37,48,34
100070,2,5,22,24,30,35,42
100071,2,9,23,29,38,41,8
100072,1,8,12,15,36,47,10
100073,2,8,11,38,41,48,18
100074,15,23,28,30,36,48,45
100075,2,25,27,28,34,37,42
100076,14,16,23,27,28,44,40
100077,3,9,23,26,31,42,41
100078,10,11,24,34,44,48,31
100079,2,8,15,26,29,49,3
100080,1,6,13,16,30,33,3
100081,2,6,18,33,34,43,28
100082,7,8,21,23,26,39,28
100083,4,8,19,32,44,46,21
100084,20,33,34,35,41,43,4
100085,2,5,24,28,33,44,4
100086,5,15,24,27,33,36,1
100087,4,7,13,14,21,29,22
100088,2,7,8,14,21,38,11
100089,2,11,22,35,39,40,36
100090,4,19,20,29,32,36,30
100091,12,19,21,35,42,46,40
100092,10,11,12,15,16,45,19
100093,16,21,37,40,41,46,27
100094,8,10,27,30,36,43,48
100095,1,7,11,14,35,36,10
100096,23,27,31,37,39,45,6
100097,3,13,14,18,22,38,6
100098,10,37,38,39,40,45,18
100099,2,23,30,36,44,48,24
100100,10,31,35,36,41,44,34
100101,5,7,9,26,27,34,8
100102,6,17,27,31,40,48,28
100103,1,8,23,24,30,32,14
100104,12,13,15,28,30,37,3
101001,9,19,26,34,38,40,37
101002,10,14,23,35,41,46,19
101003,3,21,23,27,45,47,40
101004,22,36,42,43,46,48,21
101005,4,10,22,35,42,46,32
101006,10,12,22,30,39,44,9
101007,8,21,29,38,44,45,20
101008,3,20,21,22,34,40,44
101009,1,11,14,15,19,33,42
101010,5,8,20,32,34,35,17
101011,7,22,27,33,39,41,13
101012,5,16,19,29,41,43,37
101013,2,11,19,21,33,45,40
101014,14,15,26,30,38,44,19
101015,2,21,32,39,42,46,19
101016,2,6,13,15,17,43,4
101017,2,30,32,36,43,47,49
101018,2,6,15,21,31,45,24
101019,2,5,17,20,25,48,14
101020,10,21,41,44,45,48,32
101021,6,24,46,47,48,49,40
101022,26,27,28,30,31,43,8
101023,4,5,7,13,26,46,24
101024,22,31,36,37,43,44,11
101025,16,18,23,27,28,29,19
101026,1,20,21,28,36,38,30
101027,8,22,23,39,44,47,36
101028,4,5,14,36,37,40,25
101029,6,19,27,31,33,42,13
101030,1,4,9,20,25,35,43
101031,19,23,25,26,31,43,10
101032,2,3,25,44,45,48,31
101033,9,14,19,21,39,47,11
101034,13,22,24,35,40,45,37
101035,5,7,21,22,31,43,4
101036,4,11,17,23,31,39,14
101037,6,23,24,25,29,30,47
101038,10,22,29,30,33,37,27
101039,1,30,35,44,47,49,46
101040,13,23,25,31,39,46,41
101041,1,8,13,18,28,49,6
101042,1,17,22,26,33,40,11
101043,5,22,38,43,46,49,13
101044,4,18,31,34,39,44,49
101045,11,13,16,35,40,49,39
101046,1,9,24,45,46,49,12
101047,3,21,29,33,35,40,45
101048,9,15,23,38,47,49,36
101049,1,5,17,19,26,46,47
101050,6,24,28,36,38,44,8
101051,1,6,7,12,16,41,49
101052,9,11,30,36,39,45,26
101053,11,18,21,34,41,49,47
101054,4,11,18,19,27,31,24
101055,3,16,26,28,31,41,45
101056,8,15,28,35,41,46,11
101057,17,19,22,25,30,37,31
101058,11,14,22,34,41,44,27
101059,5,11,21,24,37,39,13
101060,5,7,9,22,27,34,45
101061,1,24,28,33,43,44,31
101062,13,14,18,27,29,44,21
101063,12,23,28,29,43,47,26
101064,1,3,14,24,26,45,38
101065,2,19,27,31,38,49,32
101066,7,38,39,43,47,48,29
101067,6,29,40,44,46,47,33
101068,7,34,35,42,43,47,29
101069,1,3,6,30,38,41,46
101070,18,28,31,34,36,45,42
101071,10,21,32,36,40,48,9
101072,7,17,19,24,30,44,31
101073,3,4,21,30,31,48,15
101074,20,31,32,33,37,38,39
101075,12,13,18,39,44,48,35
101076,22,29,30,36,37,42,9
101077,18,19,34,35,45,49,16
101078,4,6,22,41,42,47,18
101079,1,3,7,9,28,40,45
101080,9,17,18,33,44,47,8
101081,8,15,18,30,31,41,45
101082,5,11,12,30,43,48,15
101083,2,3,28,35,44,45,36
101084,13,25,27,39,45,49,11
101085,2,7,19,20,25,46,43
101086,1,17,20,28,32,41,13
101087,10,14,20,25,36,46,2
101088,4,18,24,36,37,38,31
101089,8,13,41,42,47,48,29
101090,9,25,31,37,38,45,21
101091,2,11,14,22,25,31,26
101092,17,18,32,33,41,42,12
101093,6,20,23,24,27,34,16
101094,2,3,4,14,18,46,25
101095,5,9,13,18,19,31,32
101096,5,18,26,31,37,43,8
101097,2,23,29,30,41,43,16
101098,8,11,13,19,23,28,49
101099,5,12,14,22,38,44,25
101100,8,11,17,21,28,49,37
101101,5,7,10,15,19,44,49
101102,13,17,22,25,31,48,26
